36823,false,82,Республика Ботсвана,Ботсвана,,072,4,23,BW,072,true
36830,false,82,Бруней-Даруссалам,Бруней,,096,5,30,BN,096,true
36832,false,82,Республика Союза Мьянма,Мьянма,,104,4,32,MM,104,true
36833,false,82,Республика Бурунди,Бурунди,,108,4,33,BI,108,true
36812,false,82,Австрийская Республика,Австрия,AUT,040,4,12,AT,040,true
36809,false,82,Республика Азербайджан,Азербайджан,AZE,031,4,9,AZ,031,true
36816,false,82,Республика Армения,Армения,ARM,051,4,16,AM,051,true
36818,false,82,Королевство Бельгии,Бельгия,BEL,056,5,18,BE,056,true
36831,false,82,Республика Болгария,Болгария,BGR,100,4,31,BG,100,true
36835,false,82,Королевство Камбоджа,Камбоджа,,116,4,35,KH,116,true
36836,false,82,Республика Камерун,Камерун,,120,4,36,CM,120,true
36837,false,82,Канада,Канада,,124,5,37,CA,124,true
36838,false,82,Республика Кабо-Верде,Кабо-Верде,,132,4,38,CV,132,true
36896,false,82,Республика Гаити,Гаити,,332,4,96,HT,332,true
36899,false,82,Республика Гондурас,Гондурас,,340,4,99,HN,340,true
36937,false,82,Исламская Республика Мавритания,Мавритания,,478,4,137,MR,478,true
36938,false,82,Республика Маврикий,Маврикий,,480,4,138,MU,480,true
36939,false,82,Мексиканские Соединенные Штаты,Мексика,,484,4,139,MX,484,true
36941,false,82,Монголия,Монголия,,496,5,141,MN,496,true
36947,false,82,Султанат Оман,Оман,,512,4,147,OM,512,true
36948,false,82,Республика Намибия,Намибия,,516,4,148,NA,516,true
36949,false,82,Республика Науру,Науру,,520,4,149,NR,520,true
36996,false,82,Демократическая Республика Сан-Томе и Принсипи,Сан-Томе и Принсипи,,678,4,196,ST,678,true
36997,false,82,Королевство Саудовская Аравия,Саудовская Аравия,,682,4,197,SA,682,true
36998,false,82,Республика Сенегал,Сенегал,,686,4,198,SN,686,true
36967,false,82,Федеративные штаты Микронезии,Микронезия,,583,5,167,FM,583,true
36852,false,82,Демократическая Республика Конго,Демократическая Республика Конго,,180,4,52,CD,180,true
36854,false,82,Республика Коста-Рика,Коста-Рика,,188,4,54,CR,188,true
36856,false,82,Республика Куба,Куба,,192,4,56,CU,192,true
36819,true,82,Бермудские острова,Бермуды,,060,5,19,BM,060,true
36824,true,82,Остров Буве,Остров Буве,,074,6,24,BV,074,true
36853,true,82,Острова Кука,Острова Кука,,184,5,53,CK,184,true
36859,false,82,Республика Бенин,Бенин,,204,4,59,BJ,204,true
36861,false,82,Содружество Доминики,Доминика,,212,4,61,DM,212,true
36950,false,82,Федеративная Демократическая Республика Непал,Непал,,524,4,150,NP,524,true
36969,false,82,Республика Палау,Палау,,585,4,169,PW,585,true
36970,false,82,Исламская Республика Пакистан,Пакистан,,586,4,170,PK,586,true
36971,false,82,Республика Панама,Панама,,591,4,171,PA,591,true
36972,false,82,Независимое Государство Папуа Новая Гвинея,Папуа Новая Гвинея,,598,4,172,PG,598,true
36973,false,82,Республика Парагвай,Парагвай,,600,4,173,PY,600,true
36974,false,82,Республика Перу,Перу,,604,4,174,PE,604,true
36975,false,82,Республика Филиппины,Филиппины,,608,4,175,PH,608,true
36979,false,82,Республика Гвинея-Бисау,Гвинея-Бисау,,624,4,179,GW,624,true
36980,false,82,Демократическая Республика Тимор-Лесте,Тимор-Лесте,,626,4,180,TL,626,true
37000,false,82,Республика Сейшелы,Сейшелы,,690,4,200,SC,690,true
36834,false,82,Республика Беларусь,Беларусь,BLR,112,4,34,BY,112,true
36898,false,82,Папский Престол (Государство - Город Ватикан),Ватикан,VAT,336,5,98,VA,336,true
36901,false,82,Венгрия,Венгрия,HUN,348,4,101,HU,348,true
36857,false,82,Республика Кипр,Кипр,CYP,196,4,57,CY,196,true
36942,false,82,Республика Молдова,Молдова,MDA,498,4,142,MD,498,true
37001,false,82,Республика Сьерра-Леоне,Сьерра-Леоне,,694,4,201,SL,694,true
37002,false,82,Республика Сингапур,Сингапур,,702,4,202,SG,702,true
37030,false,82,Тувалу,Тувалу,,798,5,230,TV,798,true
37031,false,82,Республика Уганда,Уганда,,800,4,231,UG,800,true
36957,false,82,Республика Вануату,Вануату,,548,4,157,VU,548,true
37034,false,82,Арабская Республика Египет,Египет,,818,4,234,EG,818,true
36959,false,82,Республика Никарагуа,Никарагуа,,558,4,159,NI,558,true
36989,false,82,Сент-Китс и Невис,Сент-Китс и Невис,,659,5,189,KN,659,true
37042,false,82,Буркина-Фасо,Буркина-Фасо,,854,5,242,BF,854,true
37043,false,82,Восточная Республика Уругвай,Уругвай,,858,4,243,UY,858,true
37044,false,82,Республика Узбекистан,Узбекистан,,860,4,244,UZ,860,true
37045,false,82,Боливарианская Республика Венесуэла,Венесуэла,,862,4,245,VE,862,true
37047,false,82,Независимое Государство Самоа,Самоа,,882,4,247,WS,882,true
37048,false,82,Йеменская Республика,Йемен,,887,4,248,YE,887,true
37049,false,82,Республика Замбия,Замбия,,894,4,249,ZM,894,true
36890,false,82,Гренада,Гренада,,308,5,90,GD,308,true
36897,true,82,Остров Херд и острова Макдональд,Остров Херд и острова Макдональд,,334,4,97,HM,334,true
36953,true,82,Аруба,Аруба,,533,5,153,AW,533,true
36976,true,82,Питкерн,Питкерн,,612,5,176,PN,612,true
36958,false,82,Новая Зеландия,Новая Зеландия,,554,5,158,NZ,554,true
36807,false,82,Республика Ангола,Ангола,,024,4,7,AO,024,true
36841,false,82,Демократическая Социалистическая Республика Шри-Ланка,Шри-Ланка,,144,4,41,LK,144,true
36844,false,82,Китайская Народная Республика,Китай,,156,4,44,CN,156,true
36845,false,82,Тайвань (Китай),Тайвань,,158,5,45,TW,158,true
36848,false,82,Республика Колумбия,Колумбия,,170,4,48,CO,170,true
36849,false,82,Союз Коморы,Коморы,,174,4,49,KM,174,true
36863,false,82,Республика Эквадор,Эквадор,,218,4,63,EC,218,true
36864,false,82,Республика Эль-Сальвадор,Эль-Сальвадор,,222,4,64,SV,222,true
36865,false,82,Республика Экваториальная Гвинея,Экваториальная Гвинея,,226,4,65,GQ,226,true
36866,false,82,Федеративная Демократическая Республика Эфиопия,Эфиопия,,231,4,66,ET,231,true
36867,false,82,Государство Эритрея,Эритрея,,232,4,67,ER,232,true
36960,false,82,Республика Нигер,Нигер,,562,4,160,NE,562,true
37006,false,82,Федеративная Республика Сомали,Сомали,,706,4,206,SO,706,true
37007,false,82,Южно-Африканская Республика,Южная Африка,,710,4,207,ZA,710,true
37008,false,82,Республика Зимбабве,Зимбабве,,716,4,208,ZW,716,true
37010,false,82,Республика Южный Судан,Южный Судан,,728,4,210,SS,728,true
37011,false,82,Республика Судан,Судан,,729,4,211,SD,729,true
37013,false,82,Республика Суринам,Суринам,,740,4,213,SR,740,true
36868,false,82,Эстонская Республика,Эстония,EST,233,4,68,EE,233,true
36806,false,82,Княжество Андорра,Андорра,AND,020,4,6,AD,020,true
37005,false,82,Республика Словения,Словения,SVN,705,4,205,SI,705,true
37032,false,82,Украина,Украина,UKR,804,5,232,UA,804,true
36943,false,82,Черногория,Черногория,MNE,499,5,143,ME,499,true
37015,false,82,Королевство Эсватини,Эсватини,,748,5,215,SZ,748,true
37018,false,82,Сирийская Арабская Республика,Сирия,,760,5,218,SY,760,true
37019,false,82,Республика Таджикистан,Таджикистан,,762,4,219,TJ,762,true
37020,false,82,Королевство Таиланд,Таиланд,,764,4,220,TH,764,true
37026,false,82,Тунисская Республика,Тунис,,788,4,226,TN,788,true
37028,false,82,Туркменистан,Туркменистан,,795,5,228,TM,795,true
36872,false,82,Республика Фиджи,Фиджи,,242,4,72,FJ,242,true
36961,false,82,Федеративная Республика Нигерия,Нигерия,,566,4,161,NG,566,true
36956,true,82,Новая Каледония,Новая Каледония,,540,5,156,NC,540,true
37022,true,82,Токелау,Токелау,,772,5,222,TK,772,true
37036,true,82,Гернси,Гернси,,831,5,236,GG,831,true
36994,false,82,Сент-Винсент и Гренадины,Сент-Винсент и Гренадины,,670,5,194,VC,670,true
36878,true,82,Французские Южные Территории,Французские Южные Территории,,260,5,78,TF,260,true
36952,true,82,Кюрасао,Кюрасао,,531,5,152,CW,531,true
36990,true,82,Ангилья,Ангилья,,660,5,190,AI,660,true
